,CARGO POR POTENCIA EN PICO,"101,33 $/kW-mes"
0,CARGO POR POTENCIA FUERA PICO,"4 3,39 $/kW-mes"
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1911 $/kWh"
2,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0,1872 $/kWh"
3,GOS POR BAJO COSENO DE FI,
4,SUMINISTROS EN BAJA TENSIÓN,"0,6774 $/kvarh"
5,SUMINISTROS EN MEDIA TENSIÓN,"0,6774 $/kvarh"
6,SUMINISTROS EN ALTA TENSIÓN,"0,6774 $/kvarh"
7,CIO DE REHABILITACION,
8,A SERVICIO INTERRUMPIDO POR FALTA DE PAGO,
9,TARIFA T1R,"125,09 $"
10,TARIFA T1RE,"187,46 $"
11,TARIFA T1G BC y AC,"738,15 $"
12,TARIFA T1GE,"738,15 $"
13,TATIFA 1AP,"738,15 $"
