,CARGO POR POTENCIA EN PICO,"192,15",$/kW-mes
0,CARGO POR POTENCIA FUERA PICO,"82,35",$/kW-mes
1,GOS VARIABLES,,
2,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,5826",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,4430",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,3023",$/kWh
6,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,7783",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,6391",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,4982",$/kWh
