,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9107 $/kWh"
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9102 $/kWh"
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9099 $/kWh"
2,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9104 $/kWh"
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9098 $/kWh"
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9097 $/kWh"
6,T - SUMINISTROS EN MEDIA TENSIÓN,
7,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
8,CARGO FIJO,"608,28 $/mes"
9,CARGO POR POTENCIA EN PICO,"390,86 $/kW-mes"
10,CARGO POR POTENCIA FUERA PICO,"261,10 $/kW-mes"
11,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
12,CARGO FIJO,"486,22 $/mes"
13,CARGO POR POTENCIA EN PICO,"108,54 $/kW-mes"
14,CARGO POR POTENCIA FUERA PICO,"4 6,52 $/kW-mes"
15,GOS VARIABLES,
16,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5514 $/kWh"
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5511 $/kWh"
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5509 $/kWh"
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5514 $/kWh"
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5511 $/kWh"
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5509 $/kWh"
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5514 $/kWh"
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5511 $/kWh"
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5509 $/kWh"
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5514 $/kWh"
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5511 $/kWh"
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5509 $/kWh"
32,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5514 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5511 $/kWh"
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5509 $/kWh"
36,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5514 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5511 $/kWh"
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5509 $/kWh"
40,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5514 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5511 $/kWh"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5509 $/kWh"
44,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5523 $/kWh"
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5518 $/kWh"
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5519 $/kWh"
48,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5523 $/kWh"
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5517 $/kWh"
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5514 $/kWh"
52,T - SUMINISTROS EN ALTA TENSIÓN,
53,CARGO FIJO,$/mes
54,CARGO POR POTENCIA EN PICO,$/kW-mes
55,CARGO POR POTENCIA FUERA PICO,$/kW-mes
56,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,$/kWh
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,$/kWh
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,$/kWh
59,RVICIO DE PEAJE A USUARIOS DE MEDIANAS DEMANDAS,
60,T - SUMINISTROS EN BAJA TENSIÓN,
61,CARGO FIJO,"1.028,65 $/mes"
62,CARGO POR POTENCIA EN PICO,"270,22 $/kW-mes"
63,CARGO POR POTENCIA FUERA PICO,"115,82 $/kW-mes"
64,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,0272 $/kWh"
65,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"1,0267 $/kWh"
66,T - SUMINISTROS EN MEDIA TENSIÓN,
67,CARGO FIJO,"2.037,78 $/mes"
68,CARGO POR POTENCIA EN PICO,"143,95 $/kW-mes"
69,CARGO POR POTENCIA FUERA PICO,"6 1,72 $/kW-mes"
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6687 $/kWh"
71,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0,6681 $/kWh"
