,CARGO POR POTENCIA EN PICO,"123,16 $/kW-mes"
0,CARGO POR POTENCIA FUERA PICO,"5 2,74 $/kW-mes"
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2554 $/kWh"
2,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0,2494 $/kWh"
3,GOS POR BAJO COSENO DE FI,
4,SUMINISTROS EN BAJA TENSIÓN,"0,8264 $/kvarh"
5,SUMINISTROS EN MEDIA TENSIÓN,"0,8264 $/kvarh"
6,SUMINISTROS EN ALTA TENSIÓN,"0,8264 $/kvarh"
7,CIO DE REHABILITACION,
8,A SERVICIO INTERRUMPIDO POR FALTA DE PAGO,
9,TARIFA T1R,"152,60 $"
10,TARIFA T1RE,"228,70 $"
11,TARIFA T1G BC y AC,"900,54 $"
12,TARIFA T1GE,"900,54 $"
13,TATIFA 1AP,"900,54 $"
