,CARGO POR POTENCIA EN PICO,"2 70,64",$/kW-mes
0,CARGO POR POTENCIA FUERA PICO,"1 95,34",$/kW-mes
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,9387",$/kWh
2,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"2 ,8143",$/kWh
3,- SUMINISTROS EN MEDIA TENSIÓN,,
4,CARGO FIJO,"1.504,32",$/mes
5,CARGO POR POTENCIA EN PICO,"1 98,70",$/kW-mes
6,CARGO POR POTENCIA FUERA PICO,"1 64,56",$/kW-mes
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,8754",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"2 ,7873",$/kWh
9,NDES DEMANDAS,,
10,- SUMINISTROS EN BAJA TENSIÓN,,
11,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
12,CARGO FIJO,"9 62,99",$/mes
13,CARGO POR POTENCIA EN PICO,"3 65,18",$/kW-mes
14,CARGO POR POTENCIA FUERA PICO,"2 35,89",$/kW-mes
15,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
16,CARGO FIJO,"8 13,64",$/mes
17,CARGO POR POTENCIA EN PICO,"1 57,37",$/kW-mes
18,CARGO POR POTENCIA FUERA PICO,"6 7,44",$/kW-mes
19,GOS VARIABLES,,
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3648",$/kWh
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2707",$/kWh
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1765",$/kWh
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6538",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,5500",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,4462",$/kWh
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3648",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2707",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1765",$/kWh
32,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6538",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,5500",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,4462",$/kWh
36,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6538",$/kWh
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,5500",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,4462",$/kWh
40,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6538",$/kWh
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,5500",$/kWh
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,4462",$/kWh
