,CARGO POR POTENCIA EN PICO,"267,49",$/kW-mes
0,CARGO POR POTENCIA FUERA PICO,"176,56",$/kW-mes
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
2,CARGO FIJO,"315,74",$/mes
3,CARGO POR POTENCIA EN PICO,"79,34",$/kW-mes
4,CARGO POR POTENCIA FUERA PICO,"34,00",$/kW-mes
5,GOS VARIABLES,,
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0868",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0833",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0798",$/kWh
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976",$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899",$/kWh
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0868",$/kWh
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0833",$/kWh
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0798",$/kWh
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976",$/kWh
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938",$/kWh
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899",$/kWh
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976",$/kWh
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938",$/kWh
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899",$/kWh
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976",$/kWh
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938",$/kWh
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899",$/kWh
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2976",$/kWh
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2853",$/kWh
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2730",$/kWh
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0981",$/kWh
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0941",$/kWh
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0904",$/kWh
38,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2979",$/kWh
