,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1715",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1647",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1579",$/kWh
2,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5227",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5011",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4795",$/kWh
6,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1715",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1647",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1579",$/kWh
10,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5227",$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5011",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4795",$/kWh
14,- SUMINISTROS EN MEDIA TENSIÓN,,
15,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
16,CARGO FIJO,"308,46",$/mes
17,CARGO POR POTENCIA EN PICO,"212,91",$/kW-mes
18,CARGO POR POTENCIA FUERA PICO,"91,27",$/kW-mes
19,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
20,CARGO FIJO,"246,56",$/mes
21,CARGO POR POTENCIA EN PICO,"64,73",$/kW-mes
22,CARGO POR POTENCIA FUERA PICO,"27,74",$/kW-mes
23,GOS VARIABLES,,
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0959",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0920",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0881",$/kWh
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1078",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1035",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0992",$/kWh
32,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0959",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0920",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0881",$/kWh
36,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1078",$/kWh
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1035",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0992",$/kWh
40,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1078",$/kWh
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1035",$/kWh
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0992",$/kWh
44,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1078",$/kWh
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1035",$/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0992",$/kWh
48,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3285",$/kWh
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3149",$/kWh
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3013",$/kWh
52,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1078",$/kWh
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1035",$/kWh
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0992",$/kWh
