,CARGO POR POTENCIA EN PICO,"3 56,00",$/kW-mes
0,CARGO POR POTENCIA FUERA PICO,"2 63,63",$/kW-mes
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,9154",$/kWh
2,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"2 ,8437",$/kWh
3,- SUMINISTROS EN MEDIA TENSIÓN,,
4,CARGO FIJO,"2 .210,53",$/mes
5,CARGO POR POTENCIA EN PICO,"2 28,14",$/kW-mes
6,CARGO POR POTENCIA FUERA PICO,"2 08,85",$/kW-mes
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,8509",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"2 ,7829",$/kWh
9,NDES DEMANDAS,,
10,- SUMINISTROS EN BAJA TENSIÓN,,
11,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
12,CARGO FIJO,"1 .415,05",$/mes
13,CARGO POR POTENCIA EN PICO,"5 07,04",$/kW-mes
14,CARGO POR POTENCIA FUERA PICO,"3 28,40",$/kW-mes
15,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
16,CARGO FIJO,"1 .195,59",$/mes
17,CARGO POR POTENCIA EN PICO,"1 97,67",$/kW-mes
18,CARGO POR POTENCIA FUERA PICO,"84,72",$/kW-mes
19,GOS VARIABLES,,
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3141",$/kWh
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2203",$/kWh
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1265",$/kWh
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6019",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4985",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3951",$/kWh
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3141",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2203",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1265",$/kWh
32,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6019",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4985",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3951",$/kWh
36,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6019",$/kWh
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4985",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3951",$/kWh
40,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6019",$/kWh
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4985",$/kWh
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3951",$/kWh
